time,predator_abundance,prey1_abundance,prey2_abundance,dilution,replicate,,,,,,,,,,,,,,,,,,,,,,,,
0,100,100000,100000,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
1,222,1636987,1561627,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
2,4444,910600,789187,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
3,4519,705453,290973,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
4,3667,921067,290973,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
5,5630,707547,318187,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
6,5667,634280,186307,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
7,4889,925253,351680,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
8,4074,835240,395640,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
9,4556,770347,286787,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
10,4111,573573,167467,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
11,2852,1034107,301440,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
12,5852,776627,483560,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
13,8000,602880,378893,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
14,4741,847800,205147,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
15,3741,1055040,276320,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
16,5481,715920,357960,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
17,7519,489840,314000,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
18,4815,965027,173747,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
19,4519,1124120,303533,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
20,6333,625907,345400,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
21,8148,447973,236547,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
22,5259,741040,200960,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
23,3185,1080160,251200,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
24,4926,787093,412387,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
25,8037,615440,249107,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
26,5111,787093,136067,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
27,3074,988053,257480,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
28,4444,671960,410293,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
29,8037,464720,284693,0.45 d-1,1,,,,,,,,,,,,,,,,,,,,,,,,
