[mio cells/mL],[mio cells/mL],[1/mL],[1/mL],[1/day],[1/day],,
Chlorella,Chlorella-error,Brachionus,Brachionus-error,delta,meandelta,day#,chemostat
1.4164,0.0102,8.2,0.4,0.036719907,0.039445055,20,5p4
1.4001,0.0099,10.25,0.25,0.033966342,0.039445055,21,5p4
1.3685,0.028,8.4,1.8,0.040810735,0.039445055,22,5p4
1.2441,0.0081,10,0,0.037930743,0.039445055,23,5p4
1.208,0.0884,9.613636364,0.613636364,0.038254328,0.039445055,24,5p4
1.2077,0.0039,7.8,1.8,0.037138215,0.039445055,25,5p4
1.04635,0.02745,8.4,0.2,0.037248958,0.039445055,26,5p4
1.01259,0.03521,8,1,0.034542521,0.039445055,27,5p4
0.9995,0.0095,8.4,1.4,0.038736007,0.039445055,28,5p4
1.051425,0.100175,6.1,0.9,0.041733914,0.039445055,29,5p4
1.0998,0.0104,6.1,1.3,0.041647687,0.039445055,30,5p4
1.30395,0.06795,5.7,0.3,0.041629579,0.039445055,31,5p4
1.2266,0.0245,5.2,0.2,0.042498436,0.039445055,32,5p4
1.21085,0.01465,4.4,0.2,0.039756601,0.039445055,33,5p4
1.1601,0.009,8.3,1.7,0.040796751,0.039445055,34,5p4
1.0064,0.0199,6.9,0.5,0.04252633,0.039445055,35,5p4
1.16125,0.02925,7.4,0.2,0.040150789,0.039445055,36,5p4
1.0773,0.0197,7.5,0.7,0.040614392,0.039445055,37,5p4
1.0952,0.0253,6.416666667,0.583333333,0.03913712,0.039445055,38,5p4
1.022,0.0115,5.3,1.7,0.040314961,0.039445055,39,5p4
1.0627,0.0291,8.8,1.6,0.040820819,0.039445055,40,5p4
1.082,0.009,6.2,1.4,0.037858373,0.039445055,41,5p4
1.03219,0.04531,8,1,0.042316455,0.039445055,42,5p4
1.2913,0.1199,5.4,0.4,0.037607239,0.039445055,43,5p4
1.1504,0.0746,4.9,0.5,0.044619423,0.039445055,44,5p4
1.3729,0.0219,7.9,0.9,0.040688694,0.039445055,45,5p4
1.46095,0.13555,7.1,0.7,0.037687597,0.039445055,46,5p4
1.21,0.0839,6.2,1,0.044269723,0.039445055,47,5p4
1.1449,0.0899,6.7,0.3,0.033670624,0.039445055,48,5p4
1.21205,0.01395,7,1.6,0.043030674,0.039445055,49,5p4
1.2087,0.0437,7.8,0.4,0.040122373,0.039445055,50,5p4
1.25125,0.01735,8.7,1.3,0.040874487,0.039445055,51,5p4
1.17215,0.03465,8.8,2.6,0.036694442,0.039445055,52,5p4
1.06095,0.00495,9.8,0.2,0.041081821,0.039445055,53,5p4
1.01655,0.01265,10.3,0.3,0.042436801,0.039445055,54,5p4
1.0634,0.034,9.1,0.7,0.040330325,0.039445055,55,5p4
1.20815,0.12335,10.4,1.8,0.038241426,0.039445055,56,5p4
1.357,0.0115,9.493877551,0.106122449,0.038688077,0.039445055,57,5p4
1.56015,0.08635,5.4,2.8,0.038206733,0.039445055,58,5p4
1.37275,0.00435,6.408695652,1.191304348,0.041003171,0.039445055,59,5p4
1.3828,0.0146,5.008695652,0.208695652,0.04020774,0.039445055,60,5p4
1.3135,0.0054,5.7,1.7,0.038536359,0.039445055,61,5p4
1.357,0.0684,6.5,0.7,0.038454496,0.039445055,62,5p4
1.3435,0.0343,6.3,0.5,0.041432093,0.039445055,63,5p4
1.45825,0.00235,7.8,0.2,0.043211062,0.039445055,64,5p4
1.38265,0.02075,7.6,0.4,0.035267753,0.039445055,65,5p4
1.32615,0.00735,8.1,0.1,0.058673132,0.039445055,66,5p4
1.1836,0.079,5.5,0.7,0.019659441,0.039445055,67,5p4
1.05735,0.01915,10.8,0.6,0.039732221,0.039445055,68,5p4
0.99461,0.01549,8.8,0,0.040030301,0.039445055,69,5p4
1.0413,0.0079,8.3,0.9,0.040977021,0.039445055,70,5p4
1.26675,0.02185,10.2,0.2,0.040074514,0.039445055,71,5p4
1.162,0.0668,8.2,0.6,0.038884028,0.039445055,72,5p4
1.4185,0.0861,9,0.4,0.038992915,0.039445055,73,5p4
1.1205,0.0151,8.1,1.1,0.038074489,0.039445055,74,5p4
1.35825,0.02725,7.2,0.4,0.040264853,0.039445055,75,5p4
